Name,Country,Region,Winery,Rating,NumberOfRatings,Price,Year,Type,latitude,longitude
TO 2017,Austria,Burgenland,Velich,4.0,74,14.72,2017,White,47.7462477,16.8260552
Eichhorn Pinot Bianco 2018,Italy,SÃ¼dtirol - Alto Adige,Manincor,4.2,74,24.27,2018,White,46.3914762,11.2551839
ChÃ¢teauneuf-du-Pape Blanc 2017,France,ChÃ¢teauneuf-du-Pape,Domaine des SÃ©nÃ©chaux,4.1,74,34.73,2017,White,44.0579385,4.8324467
GG Henkenberg Weissburgunder 2015,Germany,Baden,Salwey,4.2,74,29.08,2015,White,48.0889834,7.6292858
K 2016,Austria,Burgenland,Kracher,4.1,74,24.99,2016,White,47.7611481,16.8066631
Kastelberg Grand Cru 2016,France,Alsace Grand Cru 'Kastelberg',Marc Kreydenweiss,4.2,75,49.5,2016,White,48.3883515,7.4155198
Vulkangestein Riesling Trocken 2018,Germany,Nahe,SchÃ¤fer-FrÃ¶hlich,4.0,75,15.1,2018,White,49.8376011,7.6809546
Graacher Himmelreich Riesling Auslese 2006,Germany,Graach,Joh. Jos. PrÃ¼m,4.1,75,62.0,2006,White,49.941491,7.0459825
Puligny-Montrachet 2016,France,Puligny-Montrachet,Domaine Henri Boillot,4.0,76,59.9,2016,White,46.9686198,4.7971731
Riserva Nova Domus Terlaner 2017,Italy,SÃ¼dtirol - Alto Adige,Terlan (Terlano),4.3,76,35.85,2017,White,46.5293309,11.2484293
Sandstein Riesling Trocken 2019,Germany,Rheinhessen,Gysler,4.0,76,10.21,2019,White,49.7368202,8.0640834
Santenay Premier Cru 'GraviÃ¨res' Blanc 2013,France,Santenay 1er Cru 'Les GraviÃ¨res',ChÃ¢teau de la CrÃ©e,4.3,76,65.9,2013,White,46.9147949,4.6868397
Loibner Federspiel GrÃ¼ner Veltliner 2018,Austria,Wachau,F.X. Pichler,4.1,76,26.77,2018,White,48.3877757,15.530616
Wairau Reserve Sauvignon Blanc 2019,New Zealand,Marlborough,Saint Clair,4.4,77,26.95,2019,White,42.8208653,-82.486024
Chablis Montmains 1er Cru 2015,France,Chablis 1er Cru 'Montmains',Domaine des Marronniers,4.1,78,19.9,2015,White,47.7569327,3.7554269
Solosole Pagus Camilla 2015,Italy,Bolgheri,Poggio Al Tesoro,4.1,78,44.9,2015,White,43.5797653,10.550356
