name,winery,country,latitude,longitude
963,Franz Hirtzberger,Austria,48.366866,15.4178484
964,Domaine Henri Boillot,France,46.9686198,4.7971731
968,Dr. Bürklin-Wolf,Germany,,
969,Reichsrat von Buhl,Germany,,
970,Schloss Johannisberg,Germany,49.9999818,7.9837394
971,Ignaz Niedrist,Italy,46.458694,11.287717
976,Oliver Zeter,Germany,49.3706789,8.1433803
977,Nitída,South Africa,-33.8347509,18.5933197
981,Von Winning,Germany,49.4106226,8.1863799
985,Ottella,Italy,45.4243002,10.6551806
995,Pépière,France,47.1047355,-1.4108065
998,Sepp & Maria Muster,Austria,,
999,Königschaffhausen-Kiechlinsbergen,Germany,48.1256618,7.6531715
1007,Van Volxem,Germany,49.6427945,6.5787574
1009,J.A. Ferret,France,46.2807046,4.7416484
1010,M. Chapoutier,France,,
1011,Weingut A. Diehl,Germany,,
1013,St. Michael-Eppan,Italy,46.4560767,11.2623877
1015,Knipser,Germany,,
1017,F.X. Pichler,Austria,48.3877757,15.530616
1019,Vincent Girardin,France,,
1022,Weingut Holger Koch,Germany,48.0764505,7.6525242
1023,Lis Neris,Italy,45.9293858,13.5271326
1024,Kollwentz,Austria,47.8295264,16.4802959
1029,Maximin Grünhaus,Germany,49.7696275,6.7169033
1032,Marqués de Riscal,Spain,,
1034,Joseph Drouhin,France,,
1043,Ingrid Groiss,Austria,48.5116757,16.0678152
1045,Mount Nelson,New Zealand,-33.932065,18.411655
1050,Konrad,New Zealand,,
1052,de Ladoucette,France,,
1053,Alexander Laible,Germany,48.49884,7.99255
1058,Baglio del Cristo di Campobello,Italy,37.2217695,13.918757
1059,Georg Breuer,Germany,,
1061,Terroir Al Límit Soc. Lda,Spain,41.2122716,0.811823
1062,Château la Négly,France,43.2141696,3.184006
1064,Philipp Kuhn,Germany,49.5530676,8.2316773
1066,Clemens Busch,Germany,50.0427037,7.1295895
1068,Torre Rosazza,Italy,46.021063,13.412903
1070,Dr. Bürklin-Wolf,Germany,,
1073,Edgebaston,South Africa,52.4608009,-1.914995
1076,Domaine des Héritiers Louis Jadot,France,,
1079,Gallo Signature Series,United States,,
1082,Mukhrani,Georgia,41.9349353,44.5655726
1086,Weingut R&A Pfaffl,Austria,,
1089,Domane Krems,Austria,,
1090,Tardieu-Laurent,France,43.764144,5.369288
1092,Joh. Jos. Prüm,Germany,49.941491,7.0459825
1093,Markus Molitor,Germany,,
