Name,Country,Region,Winery,Rating,NumberOfRatings,Price,Year,Type,latitude,longitude
Peyres Nobles Rouge 2018,France,CorbiÃ¨res,ChÃ¢teau Camplong,4,103,6.5,2018,Red,42.4879685,-1.6570456
Lemartine Toscana 2015,Italy,Toscana,Poggio Antico,4.1,103,29.67,2015,Red,42.4879685,-1.6570456
Pomerol 1999,France,Pomerol,ChÃ¢teau NÃ©nin,4.1,103,240,1999,Red,44.922751,-0.211108
Malterdinger Alte Reben SpÃ¤tburgunder 2016,Germany,Baden,Bernhard Huber,4.1,103,38.69,2016,Red,48.160043,7.8124223
Cabernet Franc 2012,South Africa,Franschhoek,Anthonij Rupert,4.2,103,59.95,2012,Red,-33.8804681,19.0035331
Saint-Ã‰milion Grand Cru (Premier Grand Cru ClassÃ©) 2002,France,Saint-Ã‰milion Grand Cru,ChÃ¢teau Valandraud,4.4,103,193.02,2002,Red,44.8877177,-0.0853736
Bramare Rebon Vineyard Malbec 2017,Argentina,Mendoza,ViÃ±a Cobos,4.6,103,75.07,2017,Red,-33.0972849,-68.9244548
Brunello di Montalcino Pianrosso 2015,Italy,Brunello di Montalcino,Ciacci Piccolomini d'Aragona,4.4,103,66.29,2015,Red,42.9889309,11.5109714
One Point Five Cabernet Sauvignon 2016,United States,Stags Leap District,Shafer,4.5,1030,120.01,2016,Red,42.8924631,2.9747562
Barbaresco 2013,Italy,Barbaresco,Gaja,4.4,1030,199.9,2013,Red,33.7405484,-84.3463317
Pieve Santa Restituta Brunello di Montalcino 2014,Italy,Brunello di Montalcino,Gaja,4.3,1035,59.9,2014,Red,33.7405484,-84.3463317
Gran Maestro Primitivo di Manduria 2017,Italy,Primitivo di Manduria,Maestro Italiano,4.1,1036,9.75,2017,Red,33.7405484,-84.3463317
Saint-Julien (Grand Cru ClassÃ©) 2011,France,Saint-Julien,ChÃ¢teau LÃ©oville Barton,4.2,1037,87.24,2011,Red,45.156947,-0.7394435
Pessac-LÃ©ognan (Grand Cru ClassÃ© de Graves) 2007,France,Pessac-LÃ©ognan,ChÃ¢teau Pape ClÃ©ment,4.3,1037,161.1,2007,Red,44.8060379,-0.6474483
Faithful Hound Red 2015,South Africa,Stellenbosch,Mulderbosch,4,1038,14.9,2015,Red,-33.9484965,18.7667762
Serego Alighieri Vaio Armaron Amarone della Valpolicella Classico 2012,Italy,Amarone della Valpolicella,Masi,4.3,1039,69,2012,Red,-33.9484965,18.7667762
Sanct Valentin Riserva Pinot Noir 2017,Italy,SÃ¼dtirol - Alto Adige,St. Michael-Eppan,4.1,104,33.2,2017,Red,46.4560767,11.2623877
Valpolicella Ripasso Classico Superiore 2016,Italy,Valpolicella Ripasso Classico,Paolo Cottini,4,104,16.9,2016,Red,45.5345755,10.8768357
Toscana Poggio Ai Merli 2016,Italy,Toscana,Castellare,4.3,104,69,2016,Red,43.4650202,11.269341
ChÃ¢teauneuf-du-Pape (La Crau) 2017,France,ChÃ¢teauneuf-du-Pape,Domaine du Vieux TÃ©lÃ©graphe,4.4,104,79.95,2017,Red,44.0428553,4.8854594
ChÃ¢teauneuf-Du-Pape La Paillousse Terroir D'Exception Rouge 2015,France,ChÃ¢teauneuf-du-Pape,Pierre Amadieu,4,104,26.23,2015,Red,44.1671405,4.9999175
Santenay Clos de Malte 2016,France,Santenay,Louis Jadot,4.1,104,32,2016,Red,42.305462,-8.119258
SudisfÃ  Roero Riserva 2015,Italy,Roero,Negro Angelo,4.1,104,29.9,2015,Red,44.7776732,7.9669333
LÃ©a Les Aspres CÃ´tes du Roussillon Rouge 2012,France,CÃ´tes du Roussillon,Domaine Lafage,4,104,19.95,2012,Red,44.7776732,7.9669333
Alleanza 2012,Italy,Toscana,Castello di Gabbiano,4.1,104,26.95,2012,Red,43.6282453,11.2604592
No Name 2014,Italy,Piemonte,Borgogno,4,1041,34.32,2014,Red,44.6242163,7.9791973
Pian delle Vigne Brunello di Montalcino 2014,Italy,Brunello di Montalcino,Antinori,4.3,1046,45.6,2014,Red,42.4721043,-2.4471302
AlmirÃ©z 2016,Spain,Toro,Teso La Monja,4,1046,14.95,2016,Red,41.4551273,-5.4467614
Ammasso Rosso Sicilia 2016,Italy,Sicilia,Barone Montalto,4.2,1047,16.34,2016,Red,41.4551273,-5.4467614
Saint-Julien (Grand Cru ClassÃ©) 2016,France,Saint-Julien,ChÃ¢teau LÃ©oville Las Cases,4.6,105,330.45,2016,Red,38.4624831,-122.8200201
Pomerol 2015,France,Pomerol,ChÃ¢teau l'Ecuyer,4.2,105,43.16,2015,Red,38.4624831,-122.8200201
ArbÃ²re Cannonau di Sardegna 2012,Italy,Cannonau di Sardegna,Gabbas,4,105,21.9,2012,Red,38.4624831,-122.8200201
Ãngeles de Amaren Tempranillo - Graciano 2015,Spain,Rioja,Bodegas Amaren,4.2,105,15.95,2015,Red,42.5658868,-2.6825171
Amarone della Valpolicella 2006,Italy,Amarone della Valpolicella,ZÃ½mÄ“,4.5,105,96.9,2006,Red,42.5658868,-2.6825171
Vinya Le Havre Reserva Cabernet Sauvignon 2013,Spain,PenedÃ¨s,Jean Leon,4,105,25.75,2013,Red,40.7596654,-73.9685464
Sor Ugo Bolgheri Superiore 2017,Italy,Bolgheri Superiore,Aia Vecchia,4.3,105,23.94,2017,Red,43.1683018,10.5805204
Rosso di Montalcino 2018,Italy,Rosso di Montalcino,Ciacci Piccolomini d'Aragona,4.1,105,16.47,2018,Red,42.9889309,11.5109714
Amarone della Valpolicella Classico 2016,Italy,Amarone della Valpolicella Classico,Zenato,4.2,105,43.61,2016,Red,42.574904,-2.544317
Pievasciata Rosso 2016,Italy,Toscana,Vallepicciola,4.1,105,14.9,2016,Red,43.377025,11.3972698
DÃ©licate N.V.,South Africa,Stellenbosch,De Toren,4.1,1056,14.38,N.V.,Red,-34.5062769,138.967706
Saint-Julien (Grand Cru ClassÃ©) 2017,France,Saint-Julien,ChÃ¢teau Beychevelle,4,106,86.76,2017,Red,45.1445898,-0.7351245
Copa Santa La MÃ©janelle 2015,France,Languedoc,Clavel,4,106,17.9,2015,Red,39.3150317,-76.6204571
Kirschgarten Spatburgunder GG 2013,Germany,Pfalz,Knipser,4.2,106,39.95,2013,Red,41.3679869,-75.7375741
Pinot Noir 2017,Italy,Valle d'Aosta,Ottin - Viticulteur Encaveur,4,106,22.5,2017,Red,45.7575059,7.3249268
