Name,Country,Region,Winery,Rating,NumberOfRatings,Price,Year,Type,latitude,longitude
Post Scriptum (de Chryseia) Douro 2018,Portugal,Douro,Prats & Symington (P+S),4.2,240,19.5,2018,Red,45.0064316,-0.6809305999999999
Shiraz - Mataro 2018,Australia,South Eastern Australia,Banrock Station,3.5,240,5.79,2018,Red,-34.1978664,140.3305206
Châteauneuf-du-Pape Vieilles Vignes 2010,France,Châteauneuf-du-Pape,Domaine de la Janasse,4.4,240,189.0,2010,Red,-34.1978664,140.3305206
Nebbiolo Gavarini Langhe 2014,Italy,Langhe,Elio Grasso,3.5,240,24.59,2014,Red,44.5959266,7.982766499999999
Rouge (Gaston Hochar) 2012,Lebanon,Bekaa Valley,Château Musar,4.3,2403,33.63,2012,Red,44.5959266,7.982766499999999
The Velvet Devil Merlot 2016,United States,Columbia Valley,Charles Smith,3.6,2403,13.16,2016,Red,44.5959266,7.982766499999999
Bordeaux 2017,France,Bordeaux,Château Malbec,3.8,241,10.75,2017,Red,44.9195007,-0.4708039
Nirvasco Barolo 2015,Italy,Barolo,Bersano,3.8,241,34.99,2015,Red,44.9195007,-0.4708039
La Felisa 2018,Spain,Ribera del Duero,Emilio Moro,4.2,241,24.85,2018,Red,44.9195007,-0.4708039
El Chaparral de Vega Sindoa Old Vines Garnacha 2017,Spain,Navarra,Bodegas Nekeas,3.9,241,11.0,2017,Red,42.6552938,-1.7126986
Salice Salentino Riserva 2016,Italy,Salice Salentino,Epicuro,3.8,241,6.45,2016,Red,42.6552938,-1.7126986
Cannubi Barolo 2013,Italy,Barolo,Luigi Einaudi,4.2,241,63.26,2013,Red,42.6552938,-1.7126986
El Terroir 2014,Spain,Navarra,Domaines Lupier,3.9,241,18.5,2014,Red,42.6552938,-1.7126986
Les Christins Vacqueyras 2015,France,Vacqueyras,Famille Perrin,3.8,241,17.0,2015,Red,42.6552938,-1.7126986
Malbec 2018,France,Vin de France,HornHead,3.8,241,8.19,2018,Red,55.2244444,-7.9822222
Brolio Chianti Classico 2015,Italy,Chianti Classico,Ricasoli,3.7,2410,36.0,2015,Red,55.2244444,-7.9822222
Pauillac (Grand Cru Classé) 2016,France,Pauillac,Château Lynch-Moussas,4.2,242,44.95,2016,Red,45.183575,-0.7925082999999999
Zweigelt vom Haus 2017,Austria,Niederösterreich,Weingut R&A Pfaffl,3.8,242,8.69,2017,Red,45.183575,-0.7925082999999999
Montepulciano d'Abruzzo 2017,Italy,Montepulciano d'Abruzzo,Moncaro,3.2,242,6.0,2017,Red,45.183575,-0.7925082999999999
Les Christins Vacqueyras 2017,France,Vacqueyras,Famille Perrin,3.9,242,15.9,2017,Red,45.183575,-0.7925082999999999
Agostino Petri Chianti Classico Riserva 2016,Italy,Chianti Classico,Vicchiomaggio,4.1,242,19.4,2016,Red,43.60923589999999,11.285376
Cipressi Nizza 2017,Italy,Barbera d'Asti,Michele Chiarlo,3.9,242,15.11,2017,Red,43.60923589999999,11.285376
Haut-Médoc 2015,France,Haut-Médoc,Château du Moulin Rouge,3.7,242,16.73,2015,Red,45.1205724,-0.7274649
Barolo Percristina 2007,Italy,Barolo,Domenico Clerico,4.4,242,106.7,2007,Red,45.1205724,-0.7274649
Canoe Ridge Estate Cabernet Sauvignon 2015,United States,Horse Heaven Hills,Chateau Ste. Michelle,3.9,242,28.99,2015,Red,47.7299119,-122.1508227
Saint-Julien (Grand Cru Classé) 2013,France,Saint-Julien,Château Ducru-Beaucaillou,4.2,242,101.5,2013,Red,45.150911,-0.734644
Syrah 2017,Chile,Aconcagua Valley,Arboleda,3.8,242,18.41,2017,Red,30.5222208,-97.8189231
Pinot Noir 2014,United States,Santa Lucia Highlands,Gallo Signature Series,3.8,242,40.26,2014,Red,30.5222208,-97.8189231
Syrah L'Appel des Sereines 2017,France,Vin de France,Francois Villard,3.8,242,11.9,2017,Red,45.443575,4.7346721
Castello della Sala Pinot Nero 2016,Italy,Umbria,Antinori,4.2,242,56.0,2016,Red,45.443575,4.7346721
Vigneti La Selvanella Chianti Classico Riserva 2014,Italy,Chianti Classico,Melini,3.9,242,13.95,2014,Red,38.1885335,-83.42802139999999
Grande Passolo Rosso 2016,Italy,Salento,Rocca,3.5,243,6.72,2016,Red,27.9624349,-82.465183
Durif 2017,Australia,Riverina,Three Bridges,4.0,243,25.45,2017,Red,51.1179224,-0.1636319
Chianti 2016,Italy,Chianti,Monte Guelfo,3.2,243,6.97,2016,Red,51.1179224,-0.1636319
Signature Shiraz 2018,South Africa,Western Cape,Spier,3.5,243,6.5,2018,Red,51.1179224,-0.1636319
Baccanera 2016,Italy,Langhe,Lo Zoccolaio,4.0,243,11.6,2016,Red,44.6003014,7.948984299999999
Mirto 2014,Spain,Rioja,Ramón Bilbao,4.3,243,37.3,2014,Red,42.5699439,-2.8608441
Single Vineyard Tempranillo 2018,Spain,La Mancha,Allegranza,3.3,243,5.72,2018,Red,20.6204852,-87.1035035
